,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,size,color
156,5.0,True,2016-03-28,A1WVSBL8J4ZESK,B001IKJOLW,Magu,Excelente,Five Stars,1459123200, 7.5 D(M) US, Cool Grey/Team Orange/White/Platinum
157,2.0,True,2016-03-28,A2GJUMX0CRHLIN,B001IKJOLW,Amazon Customer,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,1459123200, 13 D(M) US, Cool Grey/Team Orange/White/Platinum
158,4.0,True,2016-03-24,A3KAX5RZ4XH9L7,B001IKJOLW,initialkl,"For the price I spent on the pair of shoes, I'd say it's as good as expected.
It's comfortable and doesn't hurt my feet when I run.",Pretty comfortable pair of running shoes,1458777600, 9 D(M) US, Cool Grey/Team Orange/White/Platinum
159,3.0,True,2016-03-23,A2YI41MCJB2QCV,B001IKJOLW,Elizabeth Gravesen,I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide.,I always get a half size up in my tennis ...,1458691200, 8.5 B(M) US, Black/White/Anthracite/Stealth
160,5.0,True,2016-03-20,A3ONF0JD2UBP54,B001IKJOLW,Denise L Woodruff,Put them on and walked 3 hours with no problem! Love them! So light feeling,Love them! So light feeling,1458432000, 7.5 B(M) US, Bright Mango/Crimson/White/Blue
161,5.0,True,2016-03-18,A3R09ZAUTB2PUU,B001IKJOLW,ely concepcion,excelente,Five Stars,1458259200, 10.5 D(M) US, Cool Grey/Team Orange/White/Platinum
162,5.0,True,2018-04-22,A1VH37JYIIHE3F,B001IKJOLW,Margaret,"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!",Love these shoes,1524355200, 7 B(M) US, Black/White/Anthracite/Stealth
163,3.0,True,2018-04-19,AOZHQ15OKY2ZT,B001IKJOLW,Fixalot,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",Its not as comfortable as I was expecting,1524096000, 9 B(M) US, Blue Tint/Green Glow/Hasta/White
164,5.0,True,2018-04-18,A2YZERYQTLB8NG,B001IKJOLW,Lenci,Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,Very Comfortable,1524009600, 9.5 B(M) US, Black/White/Anthracite/Stealth
165,5.0,True,2018-04-18,A2EGVPBTNJI3HB,B001IKJOLW,Amazon Customer,The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,The color pattern and fit is what I liked the most what I liked the least is that ...,1524009600, 7 B(M) US, Blue Tint/Green Glow/Hasta/White
166,5.0,True,2018-04-16,A1B3W4RSJ1CJEO,B001IKJOLW,Kteel717,"love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",Great shoe for the price!,1523836800, 6 B(M) US, Black/White-anthracite-stealth
167,5.0,True,2018-04-15,A3P9DECTULU1B3,B001IKJOLW,JP,"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",Great shoe!,1523750400, 9 B(M) US, Black/White/Anthracite/Stealth
168,3.0,True,2018-04-13,A353OJ19SEMPT4,B001IKJOLW,Annette t.,The material is real then hope they don't fall apart . to expensive for what you get.,Three Stars,1523577600, 8 B(M) US, Blue Tint/Green Glow/Hasta/White
169,3.0,True,2018-04-09,A1CIQ2ULKB933A,B001IKJOLW,Pablo Mateo,Nice,Three Stars,1523232000, 7 B(M) US, Wolf Grey/Black-pink Blast/White
170,5.0,True,2018-04-09,A1TFZVGT6J5NYZ,B001IKJOLW,Sandra calleros,Gracias,Five Stars,1523232000, 7 B(M) US, Black/White/Anthracite/Stealth
171,5.0,True,2018-04-08,A2IJJUO99LXIXG,B001IKJOLW,Aline J Cone,Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,Love these shoes,1523145600, 8 B(M) US, Black/White/Anthracite/Stealth
172,5.0,True,2018-04-07,A1CKPC88NHMYGR,B001IKJOLW,Cynthia Foyer,,Five Stars,1523059200, 11 B(M) US, Wolf Grey/Black-pink Blast/White
173,5.0,True,2018-04-04,A1S4O68F0UG4GA,B001IKJOLW,JAXJAG,Great arch support and comfortable.,Great cross trainer,1522800000, 9 B(M) US, Black/White/Anthracite/Stealth
174,4.0,True,2018-04-03,A8C8Q1GQPYPR3,B001IKJOLW,Natasha Henry,It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,They are comfortable for the most but just a bit narrow,1522713600, 8.5 B(M) US, Wolf Grey/Black-pink Blast/White
175,5.0,True,2018-04-03,A3RHNGQAZWUX01,B001IKJOLW,Masher41,second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,staple sneakers,1522713600, 9 B(M) US, Black/White/Anthracite/Stealth
176,5.0,True,2018-03-31,A2ILUTAAPPZY79,B001IKJOLW,Proud dad,My daughter loves these shoes. Fit true to size.,Great looking shoe,1522454400, 8.5 B(M) US, Black/White/Anthracite/Stealth
177,5.0,True,2018-03-28,A21PLUMLST80EK,B001IKJOLW,The Lucky One,Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,Great shoes.,1522195200, 7 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq
178,3.0,True,2018-03-27,A1R9CFF27RIALC,B001IKJOLW,Danielle,Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,"Style 10/10, Comfort 3/10",1522108800, 8.5 B(M) US, Wolf Grey/Black-pink Blast/White
179,5.0,True,2018-03-22,A3KKVVAINMZF9D,B001IKJOLW,Nadege Marcellus,"Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!",these shoes are great! Very lightweight and fits comfortably on my feet ...,1521676800, 9 B(M) US, Blue Tint/Green Glow/Hasta/White
180,5.0,True,2018-03-22,AHQZL3LSIR57E,B001IKJOLW,Donna Rische,Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,Great shoes. Fit perfectly,1521676800, 9.5 B(M) US, Black/White/Anthracite/Stealth
181,5.0,True,2018-03-21,A36UF843501J4Y,B001IKJOLW,Alisha K. Casey,I love them! They fit perfect and are very comfortable!!,Five Stars,1521590400, 6.5 B(M) US, Wolf Grey/Black-pink Blast/White
182,5.0,True,2018-03-20,AJ74ZOS1UKOBA,B001IKJOLW,keith jones,Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,Perfect. Lightweight and comfortable all day,1521504000, 8 B(M) US, Black/White/Anthracite/Stealth
183,5.0,True,2018-03-19,A3UTTXFSBNV2V7,B001IKJOLW,Mary,My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,My knees feel better so so hard so good,1521417600, 8.5 B(M) US, Black/White/Anthracite/Stealth
184,5.0,True,2018-03-19,A2QPBIA0HKEL96,B001IKJOLW,kristin,Love the color!,Five Stars,1521417600, 8.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq
185,4.0,True,2018-03-17,AHXQ0PAMEKC0P,B001IKJOLW,ALH,"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.","Comfortable, lightweight Xtrainer",1521244800, 8 D - Wide, Cool Grey / Volt - Wolf Grey - Pure Platinum
186,5.0,True,2018-03-13,A2P6I9PGAVEW6E,B001IKJOLW,kathleen Malcomb,"The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.",Great shoe!,1520899200, 7.5 B(M) US, Black/White/Anthracite/Stealth
187,1.0,True,2018-03-11,A6CXK8NXD50R2,B001IKJOLW,MMB,They looked very cheap,Returned...looked cheap,1520726400, 9.5 B(M) US, Wolf Grey/Platinum/White/Crimson
188,5.0,True,2018-03-05,A39943Z2419XIU,B001IKJOLW,Amazon Customer,The fit is as expected,Fits to size,1520208000, 9 B(M) US, Black/White/Anthracite/Stealth
189,5.0,True,2018-03-02,A2RZ3T3ECENTMO,B001IKJOLW,Jo,Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,Very comfortable shoes. This is my second pair of this ...,1519948800, 11 B(M) US, Black/White/Anthracite/Stealth
190,5.0,True,2018-02-28,A16BGUHQH20CIP,B001IKJOLW,Van G,"Comfortable, consistent each time I order and good looking",Sleek and sporty,1519776000, 7.5 B(M) US, Black/White/Anthracite/Stealth
191,5.0,True,2018-02-27,A3O3KF45YVTOGY,B001IKJOLW,Amazon Customer,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,I love the shoes and the description and photos were accurate,1519689600, 8.5 B(M) US, Black/White/Anthracite/Stealth
192,5.0,True,2018-02-27,A3TLWN2BRF1QH5,B001IKJOLW,Brittany C.,These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!,Great fit!,1519689600, 8.5 B(M) US, Blue Tint/Green Glow/Hasta/White
193,5.0,True,2018-02-27,A2ZGEESHHGFZKL,B001IKJOLW,Janelle Drenowatz,I always order a 1/2 size up in workout shoes.,Lightweight,1519689600, 9.5 B(M) US, Black/White/Anthracite/Stealth
194,1.0,True,2018-02-25,AUE82PKEUMKZB,B001IKJOLW,NAME_NOT_RETURNED,"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,1519516800, 8.5 B(M) US, Black/White/Anthracite/Stealth
195,2.0,True,2018-02-25,A2UVALXRJ35D1A,B001IKJOLW,Amazon Customer,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,1519516800, 9 B(M) US, Black/White/Anthracite/Stealth
196,5.0,True,2018-02-21,A3E05IUHHCTRJC,B001IKJOLW,Sahar Mahboob,Exactly what I expected! Comfortable and chic,Comfortable and,1519171200, 8 B(M) US, Black/White/Anthracite/Stealth
197,5.0,True,2018-02-20,A3RNGBSBRJ3YAQ,B001IKJOLW,Andrea L Hogan,They were a gift  to my daughter she loved them,Their Cute and Pink,1519084800, 7.5 B(M) US, Wolf Grey/Black-pink Blast/White
198,5.0,True,2018-02-14,A13W5DGU9QF721,B001IKJOLW,Marjorie J. Moore,Love these comfy shoes. they fit like a glove.,Five Stars,1518566400, 8.5 B(M) US, Blue Tint/Green Glow/Hasta/White
199,5.0,True,2018-02-14,A2QRWCN5YR05G9,B001IKJOLW,Amazon Customer,Very confortable.,Smooth and confortable.,1518566400, 7 B(M) US, Black/White/Anthracite/Stealth
200,5.0,True,2018-02-12,A2UALK0MY7S3C2,B001IKJOLW,salina,i love these shoes.,Five Stars,1518393600, 8 B(M) US, Energy/Mtlc Silver/Black
201,5.0,True,2018-02-01,A5JF4EQ9MQC78,B001IKJOLW,Rosalyn Russell,"Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.",decent arch support and comfortably to wear all day doing regular activity and sprinting,1517443200, 8.5 B(M) US, Cool Grey/Pure Platinum/White/Volt
202,5.0,True,2018-02-01,A3VGHF7VNFBMCQ,B001IKJOLW,sporting road,daughter loves them,Five Stars,1517443200, 7 B(M) US, Black/White/Anthracite/Stealth
203,5.0,True,2018-01-29,A13JGYKUU10QKH,B001IKJOLW,jled,"I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.",Good shoes,1517184000, 6.5 B(M) US, Cool Grey/Pure Platinum/White/Volt
204,4.0,True,2018-01-25,ATHL3S7ZD436V,B001IKJOLW,Joanna D,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",Good shoes,1516838400, 9.5 B(M) US, Black/White/Anthracite/Stealth
205,5.0,True,2018-01-18,A36T5MSMYI9F3C,B001IKJOLW,Lee Berrey,Wife loves them!,Five Stars,1516233600, 7.5 B(M) US, Cool Grey/Volt/Pure Platinum
206,5.0,True,2018-01-11,ACZAPPQ95QM86,B001IKJOLW,Shannon Youngblood,"These shoes are extremely comfortable, and fit as expected.  Will purchase again.",Five Stars,1515628800, 9 D - Wide, Cool Grey / Volt - Wolf Grey - Pure Platinum
207,1.0,True,2018-01-10,A23TE15JI8Q2YQ,B001IKJOLW,sonia,Artculo equivocado en color,One Star,1515542400, 6 B(M) US, Racer Blue/Obsidian/Blue Tint
208,5.0,True,2018-01-10,AC5PPX3XLCZN1,B001IKJOLW,G.K. Hyder,Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,Glad I read the reviews and ordered a half size ...,1515542400, 9.5 B(M) US, Black/White/Anthracite/Stealth
209,3.0,True,2018-01-09,A3U0BBRU2Q85LE,B001IKJOLW,Alix gray,"On the left shoe, there were two stained yellow spots.",Not in perfect condition,1515456000, 9.5 B(M) US, Blue Tint/Green Glow/Hasta/White
210,5.0,True,2018-01-08,A174EEWMHB3J8N,B001IKJOLW,sneakerlover,"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.","Very comfortable, cute, and long-lasting",1515369600, 9 B(M) US, Black/White/Anthracite/Stealth
211,5.0,True,2018-01-08,A1VXFXHDY4SRI5,B001IKJOLW,Trl,"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!","Super light-weight, nice tread and arch support - love them so far!",1515369600, 6 B(M) US, Pure Platinum/Blue Glow/Wolf Grey
212,5.0,True,2018-01-07,A1FQAVH5JBSV6A,B001IKJOLW,Renata,I Love it. It is very light and the color is great.,Five Stars,1515283200, 8.5 B(M) US, Wolf Grey/Black-pink Blast/White
213,5.0,True,2017-12-29,A2GBBOXDACUA6,B001IKJOLW,Amazon Customer,"My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.",My wife loves these shoes. We have both been ...,1514505600, 8.5 D - Wide, Cool Grey / Volt - Wolf Grey - Pure Platinum
214,5.0,True,2017-12-28,A2LZMWZ1CM4PF3,B001IKJOLW,Kitten,"Absolutly love these shoes!! Beautiful color, comfy, and lightweight",New Favorite Shoes,1514419200, 8 B(M) US, Energy/Mtlc Silver/Black
215,2.0,True,2017-12-17,A1UVWOQTPDSYGY,B001IKJOLW,Heather,"I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,1513468800, 11 B(M) US, Cool Grey/Volt/Pure Platinum
216,5.0,True,2017-12-17,A18530DRJJ0QAF,B001IKJOLW,Phyllis Cecilia McCray,She loves them,Five Stars,1513468800, 8.5 B(M) US, Black/White/Anthracite/Stealth
217,3.0,True,2017-12-05,A2LSGH30A8AN2Y,B001IKJOLW,Karen Andrews,"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",I usually wear a 9 but could have easily ordered a 8,1512432000, 9 B(M) US, Wolf Grey/Black-pink Blast/White
218,5.0,True,2017-12-05,A1LKTJ6HKH077C,B001IKJOLW,m.e,great,Five Stars,1512432000, 8.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq
219,5.0,True,2017-12-04,A1DX2WRQ2ZHAEK,B001IKJOLW,Amazon Customer,c,Five Stars,1512345600, 6.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq
220,5.0,True,2017-11-30,A2PWOO618R3IKJ,B001IKJOLW,Faith Harrison,Love them!,Five Stars,1512000000, 9 B(M) US, Wolf Grey/Black-pink Blast/White
221,3.0,True,2017-11-30,AERFS3FMQJJ9L,B001IKJOLW,Amazon Customer,"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.",Fits snug,1512000000, 9 B(M) US, Black/White/Anthracite/Stealth
222,3.0,True,2017-11-28,A22FYN2DKXSWS0,B001IKJOLW,APrime Tower,"Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.","Not sure why, but my mid section of my ...",1511827200, 6 B(M) US, Black/White-anthracite-stealth
223,4.0,True,2017-11-28,A22WH1BPQH7XJD,B001IKJOLW,Priscilla Wallace ,My New Gym shoes! Love them,Love,1511827200, 10 B(M) US, Cool Grey/Pure Platinum/White/Volt
224,5.0,True,2017-11-27,A3OP70LPLALBKN,B001IKJOLW,Chelsea,Perfect!,Five Stars,1511740800, 9 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq
225,5.0,True,2017-11-27,A3OP70LPLALBKN,B001IKJOLW,Chelsea,Perfect!,Five Stars,1511740800, 9 B(M) US, Energy/Mtlc Silver/Black
226,1.0,True,2017-11-19,A1BN6I0B2OF7WB,B001IKJOLW,goldenhikergirl,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,1511049600, 8 B(M) US, Black/White/Anthracite/Stealth
